"drug","drug_concept_id","key","total_score","max_score","gene_count","genes","sources","approved"
"ENTRECTINIB","rxcui:2197862","ENTRECTINIB|rxcui:2197862",0.303467162693366,0.134027724156317,7,"LYN;MAP4K5;NTRK3;PRKCG;SRC;STK3;SYK","ChEMBL;CIViC;DTC;OncoKB;PharmGKB;TTD",TRUE
"CYC-116","chembl:CHEMBL482967","CYC-116|chembl:CHEMBL482967",0.0914736095277778,0.0215273396119116,7,"CYP3A4;LYN;MAP4K5;NTRK3;SRC;STK3;SYK","DTC",FALSE
"GW441756X","chembl:CHEMBL1516890","GW441756X|chembl:CHEMBL1516890",0.134710047735537,0.0321254144977757,6,"LYN;MAP4K5;NTRK3;SRC;STK3;SYK","DTC",FALSE
"SP-600125","chembl:CHEMBL1725279","SP-600125|chembl:CHEMBL1725279",0.117750012514939,0.04692476274956,6,"CYP3A4;LYN;NTRK3;PRKCG;STK3;SYK","DTC",FALSE
"CENISERTIB","ncit:C64540","CENISERTIB|ncit:C64540",0.103968118004713,0.0331803804399696,6,"LYN;MAP4K5;PRKCG;SRC;STK3;SYK","DTC;MyCancerGenome;TALC",FALSE
"RG-1530","iuphar.ligand:10361","RG-1530|iuphar.ligand:10361",0.0989355603311877,0.0231399816307117,6,"LYN;NTRK3;PRKCG;SRC;STK3;SYK","DTC",FALSE
"INSULIN, REGULAR, HUMAN","rxcui:253182","INSULIN, REGULAR, HUMAN|rxcui:253182",4.01567681222196,1.96995466259945,5,"ADM;NTF3;PCSK1;PPP1R1A;REG1A","NCI",TRUE
"PREDNISOLONE","rxcui:8638","PREDNISOLONE|rxcui:8638",1.89986650718778,0.932210688551527,5,"CYP3A4;G6PD;LCAT;RAC2;TG","NCI;PharmGKB",TRUE
"CYCLOPHOSPHAMIDE ANHYDROUS","rxcui:1545988","CYCLOPHOSPHAMIDE ANHYDROUS|rxcui:1545988",0.806352781051953,0.42966089348877,5,"CBX1;CYP3A4;NTF3;RAC2;TNFRSF1A","DTC;NCI;PharmGKB",TRUE
"DOXORUBICIN HYDROCHLORIDE","rxcui:142433","DOXORUBICIN HYDROCHLORIDE|rxcui:142433",0.268212091318742,0.176364184320559,5,"AKR1C3;CYP3A4;G6PD;GPX3;SRC","DTC;NCI;PharmGKB",TRUE
"PD-0166285","chembl:CHEMBL3545196","PD-0166285|chembl:CHEMBL3545196",0.143289579593034,0.0401567681222196,5,"MAP4K5;NTRK3;SRC;STK3;SYK","ChEMBL;DTC",FALSE
"TAMATINIB","drugbank:DB07159","TAMATINIB|drugbank:DB07159",0.141974813532262,0.0552421148771275,5,"LYN;NTRK3;PRKCG;SRC;SYK","DTC;TTD",FALSE
"CEDIRANIB","ncit:C80867","CEDIRANIB|ncit:C80867",0.133623030773659,0.0372884275420611,5,"LYN;MAP4K5;SRC;STK3;SYK","DTC",FALSE
"ILORASERTIB","ncit:C116729","ILORASERTIB|ncit:C116729",0.0810053135531605,0.0225016373098645,5,"LYN;NTRK3;SRC;STK3;SYK","ChEMBL;DTC",FALSE
"PF-562271","iuphar.ligand:9381","PF-562271|iuphar.ligand:9381",0.0756158416197163,0.0201403543822861,5,"LYN;MAP4K5;PRKCG;SRC;STK3","DTC",FALSE
"NVP-TAE684","iuphar.ligand:5714","NVP-TAE684|iuphar.ligand:5714",0.0726494147895622,0.0202733198286934,5,"LYN;MAP4K5;SRC;STK3;SYK","DTC",FALSE
"DOVITINIB","ncit:C76199","DOVITINIB|ncit:C76199",0.071926891100272,0.0206747717064893,5,"LYN;MAP4K5;NTRK3;SRC;STK3","DTC",FALSE
"SORAFENIB","rxcui:495881","SORAFENIB|rxcui:495881",0.0548167885381379,0.0171949270615565,5,"CYP3A4;LYN;MAP4K5;NRAS;NTRK3","CGI;CKB-CORE;DTC;PharmGKB",TRUE
"ANTIDEPRESSANT AGENT","ncit:C265","ANTIDEPRESSANT AGENT|ncit:C265",4.15481017847577,2.00783840611098,4,"GCG;PON2;RAPGEF5;TG","NCI;PharmGKB",FALSE
"PROGESTERONE","rxcui:8727","PROGESTERONE|rxcui:8727",2.27299214670945,1.76962029013171,4,"CYP3A4;NME2;PI3;RHOG","DTC;GuideToPharmacology;NCI",TRUE
"GEMCITABINE","rxcui:12574","GEMCITABINE|rxcui:12574",1.52175104494775,1.13486518606273,4,"CDSN;NRAS;POLE3;UBASH3B","ChEMBL;PharmGKB",TRUE
"PEMBROLIZUMAB","rxcui:1547545","PEMBROLIZUMAB|rxcui:1547545",1.32744223905339,0.790966644831599,4,"B2M;GM2A;NRAS;PDCD1LG2","CIViC;CKB-CORE;GuideToPharmacology",TRUE
"METHOTREXATE","rxcui:6851","METHOTREXATE|rxcui:6851",0.783239826750097,0.474579986898959,4,"CYP3A4;FOLH1;FOXP3;IL1RN","DTC;NCI;PharmGKB",TRUE
"SB202190","iuphar.ligand:4307","SB202190|iuphar.ligand:4307",0.334724899486748,0.29002110310492,4,"CBX1;CYP3A4;NTRK3;RIPK2","DTC",FALSE
"SB220025","drugbank:DB04338","SB220025|drugbank:DB04338",0.232250770470311,0.0701663959124806,4,"LYN;MAP4K5;PRKCG;STK3","DTC",FALSE
"DASATINIB ANHYDROUS","rxcui:1546019","DASATINIB ANHYDROUS|rxcui:1546019",0.189917484575519,0.114482014383521,4,"LYN;MAP4K5;SRC;SYK","CancerCommons;ChEMBL;CIViC;DTC;TALC;TdgClinicalTrial;TEND;TTD",TRUE
"SOTRASTAURIN","ncit:C80630","SOTRASTAURIN|ncit:C80630",0.18577991153811,0.071316664697931,4,"MAP4K5;PRKCB;PRKCG;STK3","ChEMBL;DTC",FALSE
"DEXAMETHASONE","rxcui:3264","DEXAMETHASONE|rxcui:3264",0.176675033997956,0.108381588703568,4,"CYP3A4;F9;FABP1;TG","DTC;NCI",TRUE
"HESPERADIN","rxcui:1552358","HESPERADIN|rxcui:1552358",0.148988025928883,0.0522037985588855,4,"MAP4K5;NTRK3;SRC;STK3","DTC",FALSE
"EBSELEN","ncit:C65503","EBSELEN|ncit:C65503",0.139251088230618,0.114733623206342,4,"CBX1;CYP3A4;G6PD;GLA","DTC",FALSE
"ALSTERPAULLONE","drugbank:DB04014","ALSTERPAULLONE|drugbank:DB04014",0.11521831964697,0.0401567681222196,4,"LYN;MAP4K5;SRC;STK3","DTC",FALSE
"TOZASERTIB","ncit:C98053","TOZASERTIB|ncit:C98053",0.0932579830648935,0.0446950330127445,4,"LYN;MAP4K5;NTRK3;SRC","DTC",FALSE
"KENPAULLONE","iuphar.ligand:6000","KENPAULLONE|iuphar.ligand:6000",0.0920495297368658,0.0435031654657379,4,"CYP3A4;LYN;SRC;STK3","DTC",FALSE
"CLOZAPINE","rxcui:2626","CLOZAPINE|rxcui:2626",0.0662728134620673,0.0398654437257621,4,"CBX1;CYP3A4;GCG;SRC","DTC;NCI;PharmGKB",TRUE
"LINIFANIB","ncit:C71759","LINIFANIB|ncit:C71759",0.0647058007346507,0.0203921088120647,4,"LYN;MAP4K5;NTRK3;SRC","DTC",FALSE
"NERVE GROWTH FACTOR","rxcui:7327","NERVE GROWTH FACTOR|rxcui:7327",9.24748339074692,8.70063309314759,3,"CD82;NTF3;NTRK3","NCI",FALSE
"VANTICTUMAB","ncit:C96799","VANTICTUMAB|ncit:C96799",8.57633833467405,3.72884275420611,3,"FZD1;FZD7;FZD8","ChEMBL;TTD",FALSE
"SODIUM CHLORIDE","rxcui:9863","SODIUM CHLORIDE|rxcui:9863",5.61190834508019,3.72884275420611,3,"G6PD;GUCA2B;REG3A","FDA;NCI",TRUE
"ETIDRONIC ACID","rxcui:1356715","ETIDRONIC ACID|rxcui:1356715",3.97023735644289,3.72884275420611,3,"CYP3A4;FDPS;PTPRS","DTC;TALC;TTD",TRUE
"HYDROXYCHLOROQUINE","rxcui:5521","HYDROXYCHLOROQUINE|rxcui:5521",1.48559579368979,1.4501055155246,3,"CYP3A4;DNM1;G6PD","FDA;GuideToPharmacology;PharmGKB",TRUE
"PD-169316","drugbank:DB17040","PD-169316|drugbank:DB17040",0.898069416836493,0.870063309314759,3,"CBX1;CYP3A4;RIPK2","DTC",FALSE
"ALTEPLASE","rxcui:8410","ALTEPLASE|rxcui:8410",0.850361576036902,0.621473792367685,3,"ADM;NRAS;NTF3","NCI",TRUE
