"gene","drug","drug_concept_id","interaction_score","interaction_types","sources","key"
"RPL12","DORLIMOMAB ARITOX","chembl:CHEMBL2109124",0.130509496397214,"","ChEMBL","DORLIMOMAB ARITOX|chembl:CHEMBL2109124"
"RPL12","CYCLOHEXIMIDE","ncit:C171712",0.10990273380818,"","ChEMBL","CYCLOHEXIMIDE|ncit:C171712"
"RPL12","ATALUREN","ncit:C169791",0.127326337948501,"","ChEMBL","ATALUREN|ncit:C169791"
"RPL12","MT-3724","chembl:CHEMBL4297789",0.128898268046631,"","ChEMBL","MT-3724|chembl:CHEMBL4297789"
"RPL12","EXALUREN","ncit:C174918",0.130509496397214,"","ChEMBL","EXALUREN|ncit:C174918"
"GRIA4","BECAMPANEL","ncit:C79860",0.593224983623699,"","ChEMBL","BECAMPANEL|ncit:C79860"
"GRIA4","MIBAMPATOR","ncit:C174617",0.593224983623699,"","ChEMBL","MIBAMPATOR|ncit:C174617"
"GRIA4","TOPIRAMATE","rxcui:38404",0.0539295439657908,"","ChEMBL","TOPIRAMATE|rxcui:38404"
"GRIA4","TALAMPANEL","ncit:C38139",0.593224983623699,"","TdgClinicalTrial","TALAMPANEL|ncit:C38139"
"GRIA4","COMPOUND 42 [PMID: 26938474]","iuphar.ligand:9085",2.3728999344948,"","GuideToPharmacology","COMPOUND 42 [PMID: 26938474]|iuphar.ligand:9085"
"GRIA4","TEZAMPANEL","ncit:C77316",0.527311096554399,"","ChEMBL;TdgClinicalTrial","TEZAMPANEL|ncit:C77316"
"GRIA4","DASOLAMPANEL","ncit:C166510",0.474579986898959,"","ChEMBL","DASOLAMPANEL|ncit:C166510"
"GRIA4","CX1739","chembl:CHEMBL3707399",0.593224983623699,"","ChEMBL","CX1739|chembl:CHEMBL3707399"
"GRIA4","PERAMPANEL","rxcui:1356552",1.7796749508711,"","ChEMBL;TdgClinicalTrial;TTD","PERAMPANEL|rxcui:1356552"
"GRIA4","MK-8777","chembl:CHEMBL3707401",0.593224983623699,"","ChEMBL","MK-8777|chembl:CHEMBL3707401"
"GRIA4","CX-717","chembl:CHEMBL4791762",0.593224983623699,"","TdgClinicalTrial","CX-717|chembl:CHEMBL4791762"
"GRIA4","FARAMPATOR","ncit:C65620",0.593224983623699,"","ChEMBL","FARAMPATOR|ncit:C65620"
"GRIA4","OSAVAMPATOR","ncit:C203197",0.593224983623699,"","ChEMBL","OSAVAMPATOR|ncit:C203197"
"GRIA4","COMPOUND 27 [PMID: 26938474]","iuphar.ligand:9084",2.3728999344948,"","GuideToPharmacology","COMPOUND 27 [PMID: 26938474]|iuphar.ligand:9084"
"GRIA4","IRAMPANEL","ncit:C65960",0.169492852463914,"","ChEMBL","IRAMPANEL|ncit:C65960"
"GRIA4","RECOMBINANT FIBROBLAST GROWTH FACTOR 2","ncit:C1674",0.431436351726327,"","NCI","RECOMBINANT FIBROBLAST GROWTH FACTOR 2|ncit:C1674"
"GRIA4","ZONAMPANEL","ncit:C152963",0.593224983623699,"","ChEMBL","ZONAMPANEL|ncit:C152963"
"GRIA4","OXIDOPAMINE","ncit:C1316",0.23728999344948,"","NCI","OXIDOPAMINE|ncit:C1316"
"GRIA4","SELURAMPANEL","chembl:CHEMBL3545042",0.593224983623699,"","TdgClinicalTrial","SELURAMPANEL|chembl:CHEMBL3545042"
