"drug","drug_concept_id","key","total_score","max_score","gene_count","genes","sources","approved"
"CISPLATIN","rxcui:2555","CISPLATIN|rxcui:2555",1.13354217596421,0.355127881352963,10,"CDH17;DCBLD1;EGFR;EHMT2;HEXB;HPGD;IL6;KRT20;MDH2;PRL","CIViC;DTC;NCI;PharmGKB",TRUE
"TAMOXIFEN","rxcui:10324","TAMOXIFEN|rxcui:10324",3.19897381141496,1.60627072488879,9,"CETP;EHMT2;F2;F5;HEXB;KLK3;PIP;RRAS2;TFF3","CIViC;DTC;FDA;NCI;PharmGKB",TRUE
"RG-1530","iuphar.ligand:10361","RG-1530|iuphar.ligand:10361",0.120729856602464,0.0308533088409489,9,"BTK;EGFR;EPHA2;EPHB2;GSK3B;KIT;PAK4;PTK2B;RPS6KA3","DTC;GuideToPharmacology",FALSE
"BEVACIZUMAB","rxcui:253337","BEVACIZUMAB|rxcui:253337",1.20016512072107,0.435031654657379,8,"ANXA11;CXCL8;EGFR;KIT;MMP9;PRKCA;VEGFA;VEGFC","ChEMBL;CIViC;CKB-CORE;ClearityFoundationClinicalTrial;MyCancerGenome;PharmGKB;TALC;TdgClinicalTrial;TEND;TTD",TRUE
"SORAFENIB","rxcui:495881","SORAFENIB|rxcui:495881",0.378213455046292,0.128173009249438,8,"EFNA2;EGFR;EPHA2;KIT;MAP2K6;PTK2B;VEGFA;VEGFC","CGI;ChEMBL;CIViC;CKB-CORE;DoCM;DTC;GuideToPharmacology;MyCancerGenomeClinicalTrial;OncoKB;PharmGKB;TALC;TdgClinicalTrial;TEND;TTD",TRUE
"CENISERTIB","ncit:C64540","CENISERTIB|ncit:C64540",0.177671580203735,0.0442405072532928,8,"BTK;CSNK1G1;EGFR;KIT;PAK4;PRKACA;PRKCI;PTK2B","DTC;MyCancerGenome;TALC",FALSE
"PF-562271","iuphar.ligand:9381","PF-562271|iuphar.ligand:9381",0.173253878261634,0.0483368505174866,8,"BTK;CSNK1G1;EPHA2;GSK3B;PAK4;PRKACA;PTK2B;RPS6KA3","CancerCommons;DTC",FALSE
"CYC-116","chembl:CHEMBL482967","CYC-116|chembl:CHEMBL482967",0.169261840165586,0.0538183490297789,8,"CSNK1G1;EGFR;EPHA2;GSK3B;KIT;PAK4;PRKACA;RPS6KA3","DTC",FALSE
"ILORASERTIB","ncit:C116729","ILORASERTIB|ncit:C116729",0.149443821702211,0.0450032746197289,8,"BTK;CSNK1G1;EGFR;EPHA2;KIT;PRKCI;PTK2B;RPS6KA3","DTC",FALSE
"TRETINOIN","rxcui:10753","TRETINOIN|rxcui:10753",0.221326673174496,0.101235549887949,7,"ALPL;AMH;APOA1;CXCL8;EHMT2;KLK3;PRL","DTC;NCI",TRUE
"REGORAFENIB","rxcui:1312397","REGORAFENIB|rxcui:1312397",1.25478875665616,0.632773315865279,6,"DDR2;EFNA2;EGFR;EPHA2;KIT;VEGFA","CGI;ChEMBL;CIViC;CKB-CORE;GuideToPharmacology;MyCancerGenome;MyCancerGenomeClinicalTrial;OncoKB;PharmGKB;TALC;TTD",TRUE
"DOXORUBICIN HYDROCHLORIDE","rxcui:142433","DOXORUBICIN HYDROCHLORIDE|rxcui:142433",1.24755831700868,0.352728368641118,6,"AKR7A2;EHMT2;FCGR2A;KRT20;SDHB;YWHAG","DTC;NCI;PharmGKB",TRUE
"SUNITINIB","rxcui:357977","SUNITINIB|rxcui:357977",0.90959886464121,0.499006897989347,6,"CTSV;CXCL8;KIT;PTK2B;VEGFA;VEGFC","CGI;ChEMBL;CIViC;CKB-CORE;COSMIC;DoCM;GuideToPharmacology;MyCancerGenome;MyCancerGenomeClinicalTrial;OncoKB;PharmGKB;TALC;TdgClinicalTrial;TEND",TRUE
"MIDOSTAURIN","rxcui:1919083","MIDOSTAURIN|rxcui:1919083",0.687710416881372,0.210569943766933,6,"CTSV;IL2;IL6;KIT;PRKCA;PRKCI","ChEMBL;CIViC;CKB-CORE;FDA;GuideToPharmacology;MyCancerGenome;MyCancerGenomeClinicalTrial;NCI;PharmGKB",TRUE
"VANDETANIB","rxcui:1098413","VANDETANIB|rxcui:1098413",0.430439974394362,0.225016373098645,6,"BTK;EGFR;EPHA2;EPHB2;EPHB4;PTK2B","ChEMBL;ClearityFoundationBiomarkers;ClearityFoundationClinicalTrial;DTC;GuideToPharmacology;MyCancerGenome;MyCancerGenomeClinicalTrial;PharmGKB;TALC;TdgClinicalTrial;TTD",TRUE
"ADALIMUMAB","rxcui:327361","ADALIMUMAB|rxcui:327361",1.18265300247822,0.527311096554399,5,"ALPL;HLA-E;IL6;TNFRSF1B;VEGFA","PharmGKB",TRUE
"RIBAVIRIN","rxcui:9344","RIBAVIRIN|rxcui:9344",1.16840748470315,0.915856115068167,5,"CST3;CXCL8;EGFR;IL6;VWF","DTC;NCI;PharmGKB",TRUE
