"gene","drug","drug_concept_id","interaction_score","interaction_types","sources","key"
"TNFRSF1B","ETANERCEPT","rxcui:214555",0.602351521833295,"","PharmGKB","ETANERCEPT|rxcui:214555"
"TNFRSF1B","USTEKINUMAB","rxcui:847083",0.522037985588855,"","PharmGKB","USTEKINUMAB|rxcui:847083"
"TNFRSF1B","CARBAMAZEPINE","rxcui:2002",0.213076728811778,"","NCI","CARBAMAZEPINE|rxcui:2002"
"TNFRSF1B","STAVUDINE","rxcui:59763",0.803135362444393,"","NCI","STAVUDINE|rxcui:59763"
"TNFRSF1B","INFLIXIMAB","rxcui:191831",1.01039610113972,"","PharmGKB","INFLIXIMAB|rxcui:191831"
"TNFRSF1B","LITHIUM","rxcui:6448",0.248589516947074,"","NCI","LITHIUM|rxcui:6448"
"TNFRSF1B","DACTINOMYCIN","rxcui:3100",0.298307420336489,"","NCI","DACTINOMYCIN|rxcui:3100"
"TNFRSF1B","ADALIMUMAB","rxcui:327361",0.474579986898959,"","PharmGKB","ADALIMUMAB|rxcui:327361"
"TNFRSF1B","DIDANOSINE","rxcui:3364",0.745768550841222,"","NCI","DIDANOSINE|rxcui:3364"
"TNFRSF1B","COLLOIDAL GOLD-BOUND TUMOR NECROSIS FACTOR","ncit:C62538",2.61018992794428,"","TdgClinicalTrial","COLLOIDAL GOLD-BOUND TUMOR NECROSIS FACTOR|ncit:C62538"
"MPO","E-101 SOLUTION","ncit:C114986",1.74012661862952,"","TTD","E-101 SOLUTION|ncit:C114986"
"MPO","D-ALPHA-TOCOPHEROL ACETATE","ncit:C74962",1.74012661862952,"","NCI","D-ALPHA-TOCOPHEROL ACETATE|ncit:C74962"
"MPO","LIDOCAINE","rxcui:6387",0.204720778662296,"","NCI","LIDOCAINE|rxcui:6387"
"MPO","LITHIUM","rxcui:6448",0.0828631723156913,"","NCI","LITHIUM|rxcui:6448"
"MPO","INTERLEUKIN-11","rxcui:1311380",0.348025323725904,"","NCI","INTERLEUKIN-11|rxcui:1311380"
