"drug","drug_concept_id","key","total_score","max_score","gene_count","genes","sources","approved"
"DOXORUBICIN HYDROCHLORIDE","rxcui:142433","DOXORUBICIN HYDROCHLORIDE|rxcui:142433",0.13331834956472,0.0503897669487312,8,"SMAD3;SRC;STAT6;TGFB1;THRB;TOP1;TPMT;UGT1A1","DTC;NCI;PharmGKB",TRUE
"IRINOTECAN HYDROCHLORIDE","rxcui:153329","IRINOTECAN HYDROCHLORIDE|rxcui:153329",2.67925792083629,1.65726344631383,6,"SEMA3C;TDP1;TGFB1;TOP1;UBE2I;UGT1A1","CGI;ChEMBL;CIViC;ClearityFoundationBiomarkers;ClearityFoundationClinicalTrial;DTC;FDA;MyCancerGenomeClinicalTrial;PharmGKB;TdgClinicalTrial;TEND;TTD",TRUE
"VINCRISTINE","rxcui:11202","VINCRISTINE|rxcui:11202",2.70507449207093,1.28898268046631,5,"SMAD3;STIM1;SULF2;TPMT;UGT1A1","DTC;PharmGKB",TRUE
"GEMCITABINE","rxcui:12574","GEMCITABINE|rxcui:12574",1.36300766320715,1.13486518606273,5,"SERPINC1;SMAD4;TNC;TNF;UBASH3B","CIViC;PharmGKB",TRUE
"ADALIMUMAB","rxcui:327361","ADALIMUMAB|rxcui:327361",3.51759278660552,3.1638665793264,4,"TANK;TLR2;TNF;VEGFA","ChEMBL;PharmGKB;TdgClinicalTrial;TEND;TTD",TRUE
"FLUOROURACIL","rxcui:4492","FLUOROURACIL|rxcui:4492",1.77762934747929,0.900065492394578,4,"SMAD4;TPT1;TYMP;UPB1","CIViC;NCI;PharmGKB",TRUE
"ETOPOSIDE","rxcui:4179","ETOPOSIDE|rxcui:4179",1.75563622174705,0.900065492394578,4,"SLIT1;TBP;TGFB1;TNFSF13B","NCI;PharmGKB",TRUE
"CISPLATIN","rxcui:2555","CISPLATIN|rxcui:2555",0.470967214080001,0.355127881352963,4,"STAT1;TOP1;TPMT;UBE2I","CGI;CIViC;FDA;NCI;PharmGKB",TRUE
"RISPERIDONE","rxcui:35636","RISPERIDONE|rxcui:35636",0.300379262115469,0.222617477863051,4,"SERPINA3;TNF;TNFRSF11A;UGT1A1","GuideToPharmacology;NCI;PharmGKB",TRUE
"DASATINIB ANHYDROUS","rxcui:1546019","DASATINIB ANHYDROUS|rxcui:1546019",0.235234472224854,0.114482014383521,4,"SMAD3;SRC;SYK;TEC","CancerCommons;ChEMBL;DTC;TALC;TdgClinicalTrial;TEND;TTD",TRUE
"ENTRECTINIB","rxcui:2197862","ENTRECTINIB|rxcui:2197862",0.194243874986812,0.114482014383521,4,"SRC;STK3;SYK;TBK1","DTC",TRUE
"PROGESTERONE","rxcui:8727","PROGESTERONE|rxcui:8727",0.179463004865572,0.117974686008781,4,"SERPINC1;TARDBP;TAT;TDP1","DTC;FDA;NCI",TRUE
"DAUNORUBICIN LIPOSOMAL","rxcui:214468","DAUNORUBICIN LIPOSOMAL|rxcui:214468",0.125821326289308,0.0819525880045299,4,"THRB;TOP1;TPMT;UGT1A1","DTC;PharmGKB",TRUE
"CARBOPLATIN","rxcui:40048","CARBOPLATIN|rxcui:40048",0.100035092513868,0.0337233840819674,4,"SERPINC1;TNF;UGT1A1;VEGFA","PharmGKB",TRUE
"LUSPATERCEPT","rxcui:2262544","LUSPATERCEPT|rxcui:2262544",5.34836132329986,3.26273740993034,3,"TGFB1;TGFB2;TGFB3","ChEMBL",TRUE
"CAPECITABINE","rxcui:194000","CAPECITABINE|rxcui:194000",3.12199187460002,2.04720778662296,3,"TENM4;UGT1A1;UPB1","PharmGKB",TRUE
"SACITUZUMAB GOVITECAN","rxcui:2360232","SACITUZUMAB GOVITECAN|rxcui:2360232",3.09355843311914,2.9002110310492,3,"TACSTD2;TOP1;UGT1A1","ChEMBL;PharmGKB",TRUE
"LENALIDOMIDE","rxcui:342369","LENALIDOMIDE|rxcui:342369",2.16996453425709,2.00783840611098,3,"TNF;TNFSF11;VEGFA","ClearityFoundationClinicalTrial;TdgClinicalTrial;TTD",TRUE
"IMATINIB","rxcui:282388","IMATINIB|rxcui:282388",1.47398747785139,1.4501055155246,3,"SFN;SMAD3;SYK","DTC;TTD",TRUE
"CUCURBITACIN B","rxcui:2688460","CUCURBITACIN B|rxcui:2688460",0.763046788736743,0.580042206209839,3,"SMAD3;STAT3;TOP1","DTC",TRUE
"HEXACHLOROPHENE","rxcui:5293","HEXACHLOROPHENE|rxcui:5293",0.654674766145004,0.636631689742506,3,"SMAD3;SUMO2;THRB","DTC",TRUE
"CYCLOPHOSPHAMIDE ANHYDROUS","rxcui:1545988","CYCLOPHOSPHAMIDE ANHYDROUS|rxcui:1545988",0.578507703018808,0.42966089348877,3,"TNFRSF1A;TOP1;TPMT","NCI;PharmGKB",TRUE
"TRETINOIN","rxcui:10753","TRETINOIN|rxcui:10753",0.545308816510367,0.382445410687806,3,"SMAD2;TBP;TGFB1","NCI",TRUE
"TESTOSTERONE","rxcui:10379","TESTOSTERONE|rxcui:10379",0.471707468197602,0.382445410687806,3,"TDP1;TGFB1;TNFRSF11B","DTC;NCI",TRUE
"CYTARABINE","rxcui:3041","CYTARABINE|rxcui:3041",0.452122183947491,0.326273740993035,3,"SULT2B1;TPMT;UGT1A1","PharmGKB",TRUE
