"gene","drug","drug_concept_id","interaction_score","interaction_types","sources","key"
"TGFB2","BELAGENPUMATUCEL-L","ncit:C73438",14.9153710168244,"","TALC;TdgClinicalTrial","BELAGENPUMATUCEL-L|ncit:C73438"
"TGFB2","TRABEDERSEN","ncit:C80066",7.45768550841222,"","TdgClinicalTrial","TRABEDERSEN|ncit:C80066"
"TGFB2","LERDELIMUMAB","ncit:C170107",14.9153710168244,"","ChEMBL;TdgClinicalTrial","LERDELIMUMAB|ncit:C170107"
"TGFB2","BINTRAFUSP ALFA","ncit:C124229",1.49153710168244,"","ChEMBL","BINTRAFUSP ALFA|ncit:C124229"
"TGFB2","FRESOLIMUMAB","ncit:C63546",2.48589516947074,"","ChEMBL","FRESOLIMUMAB|ncit:C63546"
"TGFB2","LUSPATERCEPT","rxcui:2262544",1.86442137710305,"","ChEMBL","LUSPATERCEPT|rxcui:2262544"
"TGFB2","GEMOGENOVATUCEL-T","ncit:C90552",3.72884275420611,"","TTD","GEMOGENOVATUCEL-T|ncit:C90552"
"STX4","WARFARIN","rxcui:11289",1.0546221931088,"","PharmGKB","WARFARIN|rxcui:11289"
"STX4","PHENPROCOUMON","rxcui:8150",5.80042206209839,"","PharmGKB","PHENPROCOUMON|rxcui:8150"
"STX4","ACENOCOUMAROL","rxcui:154",6.96050647451807,"","PharmGKB","ACENOCOUMAROL|rxcui:154"
"SRPK1","LINIFANIB","ncit:C71759",0.0543789568321724,"","DTC","LINIFANIB|ncit:C71759"
"SRPK1","DOVITINIB","ncit:C76199",0.0430724410551861,"","DTC","DOVITINIB|ncit:C76199"
"SRPK1","SNS-314","drugbank:DB06134",0.103578965394614,"","DTC","SNS-314|drugbank:DB06134"
"SRPK1","GSK-269962A","drugbank:DB17030",0.0988708306039499,"","DTC","GSK-269962A|drugbank:DB17030"
"SRPK1","(RS)-ROSCOVITINE","chembl:CHEMBL52387",0.33463973435183,"","DTC","(RS)-ROSCOVITINE|chembl:CHEMBL52387"
"SRPK1","RG-1530","iuphar.ligand:10361",0.0462799632614233,"","DTC","RG-1530|iuphar.ligand:10361"
"SRPK1","LY-2090314","drugbank:DB11913",0.167319867175915,"","DTC","LY-2090314|drugbank:DB11913"
"SRPK1","PF-562271","iuphar.ligand:9381",0.0402807087645722,"","DTC","PF-562271|iuphar.ligand:9381"
"SRPK1","NVP-TAE684","iuphar.ligand:5714",0.0422360829764446,"","DTC","NVP-TAE684|iuphar.ligand:5714"
"SRPK1","HESPERADIN","rxcui:1552358",0.108757913664345,"","DTC","HESPERADIN|rxcui:1552358"
"SRPK1","ALISERTIB","ncit:C71717",0.0906315947202874,"","DTC","ALISERTIB|ncit:C71717"
"SRPK1","SORAFENIB","rxcui:495881",0.0378288395354243,"","DTC","SORAFENIB|rxcui:495881"
"SLIT1","ETOPOSIDE","rxcui:4179",0.900065492394578,"","PharmGKB","ETOPOSIDE|rxcui:4179"
"SLIT1","HYDROCHLOROTHIAZIDE","rxcui:5487",1.13486518606273,"","PharmGKB","HYDROCHLOROTHIAZIDE|rxcui:5487"
"THRB","METHYL PARATHIONE","chembl:CHEMBL346516",0.127950486663935,"","DTC","METHYL PARATHIONE|chembl:CHEMBL346516"
"THRB","DIENOCHLOR","chembl:CHEMBL1355965",0.127950486663935,"","DTC","DIENOCHLOR|chembl:CHEMBL1355965"
"THRB","AXITIROME","ncit:C75992",1.02360389331148,"","TTD","AXITIROME|ncit:C75992"
"THRB","3-METHYLCHOLANTHRENE","chembl:CHEMBL40583",0.127950486663935,"","DTC","3-METHYLCHOLANTHRENE|chembl:CHEMBL40583"
"THRB","CHEMBL:CHEMBL577415","chembl:CHEMBL577415",0.51180194665574,"","DTC","CHEMBL:CHEMBL577415|chembl:CHEMBL577415"
"THRB","DYCLONINE HYDROCHLORIDE","rxcui:91188",0.0319876216659838,"","DTC","DYCLONINE HYDROCHLORIDE|rxcui:91188"
"THRB","LEVOTHYROXINE","rxcui:10582",0.159938108329919,"","ChEMBL;DTC;GuideToPharmacology;TdgClinicalTrial;TEND","LEVOTHYROXINE|rxcui:10582"
"THRB","ORTHO-PHTHALALDEHYDE","chembl:CHEMBL160145",0.0853003244426234,"","DTC","ORTHO-PHTHALALDEHYDE|chembl:CHEMBL160145"
"THRB","QUINALIZARIN","drugbank:DB08660",0.0341201297770494,"","DTC","QUINALIZARIN|drugbank:DB08660"
"THRB","CHEMBL:CHEMBL297304","chembl:CHEMBL297304",0.0341201297770494,"","DTC","CHEMBL:CHEMBL297304|chembl:CHEMBL297304"
"THRB","CHEMBL:CHEMBL1493528","chembl:CHEMBL1493528",0.0568668829617489,"","DTC","CHEMBL:CHEMBL1493528|chembl:CHEMBL1493528"
"THRB","RESMETIROM","rxcui:2677894",1.02360389331148,"","ChEMBL;GuideToPharmacology;TdgClinicalTrial;TTD","RESMETIROM|rxcui:2677894"
"THRB","CLOSANTEL","ncit:C79920",0.0465274496959764,"","DTC","CLOSANTEL|ncit:C79920"
"THRB","IDARUBICIN","rxcui:5650",0.0106625405553279,"","DTC","IDARUBICIN|rxcui:5650"
"THRB","FUMARPROTOCETRARIC ACID","chembl:CHEMBL366861",0.0426501622213117,"","DTC","FUMARPROTOCETRARIC ACID|chembl:CHEMBL366861"
"THRB","DIPYRIDAMOLE","rxcui:3521",0.00913932047599537,"","DTC","DIPYRIDAMOLE|rxcui:3521"
"THRB","CHEMBL:CHEMBL1341830","chembl:CHEMBL1341830",0.051180194665574,"","DTC","CHEMBL:CHEMBL1341830|chembl:CHEMBL1341830"
"THRB","CARUBICIN","ncit:C352",0.0568668829617489,"","DTC","CARUBICIN|ncit:C352"
"THRB","ALBUTEROL SULFATE","rxcui:142153",0.0787387610239601,"","PharmGKB","ALBUTEROL SULFATE|rxcui:142153"
"THRB","PRIMAQUINE","rxcui:8687",0.0465274496959764,"","DTC","PRIMAQUINE|rxcui:8687"
"THRB","DEXTROTHYROXINE SODIUM","rxcui:40070",0.51180194665574,"","ChEMBL;TTD","DEXTROTHYROXINE SODIUM|rxcui:40070"
"THRB","SOBETIROME","ncit:C81539",0.51180194665574,"","GuideToPharmacology;TdgClinicalTrial","SOBETIROME|ncit:C81539"
"THRB","METHYLENE BLUE ANHYDROUS","rxcui:2198975",0.0138324850447497,"","DTC","METHYLENE BLUE ANHYDROUS|rxcui:2198975"
"THRB","HEXACHLOROPHENE","rxcui:5293",0.0124829743086766,"","DTC","HEXACHLOROPHENE|rxcui:5293"
"THRB","CHEMBL:CHEMBL1465049","chembl:CHEMBL1465049",0.0365572819039815,"","DTC","CHEMBL:CHEMBL1465049|chembl:CHEMBL1465049"
"THRB","COMPOUND 16G [PMID: 35507418]","iuphar.ligand:12028",0.51180194665574,"","GuideToPharmacology","COMPOUND 16G [PMID: 35507418]|iuphar.ligand:12028"
