"drug","drug_concept_id","key","total_score","max_score","gene_count","genes","sources","approved"
"CISPLATIN","rxcui:2555","CISPLATIN|rxcui:2555",0.944618333579418,0.355127881352963,17,"ALK;APEX1;BCL2;BLMH;CASP3;CBX1;CDH17;DCBLD1;DDIT3;EGFR;EHMT2;GNAS;GPX5;HRAS;HSD17B10;HSPA8;IL6","CIViC;CKB-CORE;ClearityFoundationBiomarkers;DTC;NCI;PharmGKB",TRUE
"DOXORUBICIN HYDROCHLORIDE","rxcui:142433","DOXORUBICIN HYDROCHLORIDE|rxcui:142433",0.941006121467717,0.352728368641118,17,"AKR1C3;AKR7A2;ALDH3A1;ALK;APEX1;BCL2;BDNF;BRAF;CASP3;CYP3A4;EHMT2;FCGR3B;FLT3;GPX3;GSTM1;IL11;LRP1B","CIViC;CKB-CORE;DTC;NCI;PharmGKB",TRUE
"FLUOROURACIL","rxcui:4492","FLUOROURACIL|rxcui:4492",2.37160941516716,1.35009823859187,15,"ALDH3A1;APEX1;BDNF;BRAF;CXCL8;CYP3A4;DKK1;DTYMK;EGFR;GCKR;GNAS;IGFBP3;IL11;ITGAL;LGR5","CIViC;CKB-CORE;NCI;PharmGKB",TRUE
"METHOTREXATE","rxcui:6851","METHOTREXATE|rxcui:6851",1.02599344639407,0.474579986898959,14,"ADA;ALK;APEX1;CDH2;CYP3A4;EHMT2;FCGR3B;FLT3;FOLH1;FOXP3;GLS;GSK3B;GSTM1;HSD17B10","CKB-CORE;DTC;NCI;PharmGKB",TRUE
"TRETINOIN","rxcui:10753","TRETINOIN|rxcui:10753",1.67755635422354,1.14733623206342,13,"AMH;APOA1;APOE;BCHE;BCL2;BCL2L2;CALR;CXCL8;EHMT2;FLT3;HES1;HSPA8;KLK3","CIViC;CKB-CORE;DTC;GuideToPharmacology;NCI",TRUE
"SORAFENIB","rxcui:495881","SORAFENIB|rxcui:495881",0.466919478083525,0.175015353995216,13,"ABL1;BRAF;CTNNB1;CYP3A4;DPYS;DYRK3;EFNA2;EGFR;FLT1;FLT3;HMOX1;LIMK1;LYN","CGI;ChEMBL;CIViC;CKB-CORE;ClearityFoundationClinicalTrial;COSMIC;DoCM;DTC;GuideToPharmacology;MyCancerGenome;MyCancerGenomeClinicalTrial;NCI;OncoKB;PharmGKB;TALC;TdgClinicalTrial;TEND;TTD",TRUE
"CELECOXIB","rxcui:140587","CELECOXIB|rxcui:140587",1.54755424220715,0.77916117252068,12,"ABL1;ATP2A3;BGLAP;BRAF;CA12;CACNA2D3;CACNB4;CASP3;CTNNB1;CYP3A4;DDIT3;IGFBP3","CKB-CORE;DTC;NCI;PharmGKB",TRUE
"CURCUMIN","rxcui:2955","CURCUMIN|rxcui:2955",0.624299223452197,0.225990469951885,12,"ALPG;ALPI;BDNF;CA12;CA2;CA6;CAMK2A;CYP3A4;DDIT3;EGFR;GLS;GSTM1","DTC;NCI;TTD",TRUE
"VANDETANIB","rxcui:1098413","VANDETANIB|rxcui:1098413",2.78281926976093,0.900065492394578,11,"ABL1;ALK;BTK;CYP3A4;EGFR;EPHA1;EPHA10;EPHA3;EPHB4;EPHB6;FLT1","CGI;ChEMBL;CKB-CORE;ClearityFoundationBiomarkers;ClearityFoundationClinicalTrial;DTC;MyCancerGenome;MyCancerGenomeClinicalTrial;PharmGKB;TALC;TdgClinicalTrial;TTD",TRUE
"ETOPOSIDE","rxcui:4179","ETOPOSIDE|rxcui:4179",0.814036188205497,0.257161569255594,11,"ALK;BCL2;BLMH;CYP3A4;DDIT3;EIF4E;GDF15;GLP1R;GSTM1;ITGAL;KLK3","CKB-CORE;DTC;NCI;PharmGKB",TRUE
"DEHYDRATED ALCOHOL","rxcui:1310469","DEHYDRATED ALCOHOL|rxcui:1310469",3.308232390876,1.32161515338951,10,"ALDH3A1;APOA1;APOB;CADM2;CAT;DTYMK;EGFR;GCKR;GDNF;GFER","NCI;PharmGKB",TRUE
"CLOZAPINE","rxcui:2626","CLOZAPINE|rxcui:2626",0.745234893912964,0.269091745148895,10,"ALDH3A1;C3;CBX1;CYP3A4;GDNF;GFRA2;GLP1R;GSTM1;HNMT;LEP","DTC;GuideToPharmacology;NCI;PharmGKB",TRUE
"DOCETAXEL ANHYDROUS","rxcui:1299922","DOCETAXEL ANHYDROUS|rxcui:1299922",0.438838294033189,0.0838615237893744,10,"ABCC6;AKR1C3;BCL2;BRD4;DDIT3;FOLH1;GSTM1;HNF4A;HRAS;KLK3","CancerCommons;ClearityFoundationClinicalTrial;NCI;PharmGKB;TdgClinicalTrial",TRUE
