"gene","drug","drug_concept_id","interaction_score","interaction_types","sources","key"
"DDAH1","CHEMBL:CHEMBL351569","chembl:CHEMBL351569",104.407597117771,"","DTC","CHEMBL:CHEMBL351569|chembl:CHEMBL351569"
"CSNK1D","SP-600125","chembl:CHEMBL1725279",0.0266617970167955,"","DTC","SP-600125|chembl:CHEMBL1725279"
"CSNK1D","SB203580","iuphar.ligand:5269",0.0818241356722344,"","DTC","SB203580|iuphar.ligand:5269"
"CSNK1D","BARASERTIB-HQPA","iuphar.ligand:5663",0.103169562369339,"","DTC","BARASERTIB-HQPA|iuphar.ligand:5663"
"CSNK1D","4-(3-PYRIDIN-2-YL-1H-PYRAZOL-4-YL)QUINOLINE","drugbank:DB03921",0.949159973797919,"","DTC","4-(3-PYRIDIN-2-YL-1H-PYRAZOL-4-YL)QUINOLINE|drugbank:DB03921"
"CSNK1D","PHA-767491","drugbank:DB17043",0.0359530293105272,"","DTC","PHA-767491|drugbank:DB17043"
"CSNK1D","ALSTERPAULLONE","drugbank:DB04014",0.0456326910479769,"","DTC","ALSTERPAULLONE|drugbank:DB04014"
"CSNK1D","SB220025","drugbank:DB04338",0.0765451591772515,"","DTC","SB220025|drugbank:DB04338"
"CSNK1D","BMS-345541","iuphar.ligand:5669",0.215718175863163,"","DTC","BMS-345541|iuphar.ligand:5669"
"CSNK1D","(RS)-ROSCOVITINE","chembl:CHEMBL52387",0.182530764191907,"","DTC","(RS)-ROSCOVITINE|chembl:CHEMBL52387"
"CSNK1D","GW441756X","chembl:CHEMBL1516890",0.0365061528383815,"","DTC","GW441756X|chembl:CHEMBL1516890"
"CSNK1D","TAK-715","drugbank:DB16108",0.0988708306039499,"","DTC","TAK-715|drugbank:DB16108"
"CSNK1D","DOVITINIB","ncit:C76199",0.0234940587573742,"","DTC","DOVITINIB|ncit:C76199"
"CSNK1D","GEFITINIB","rxcui:328134",0.0354164169327582,"","DTC","GEFITINIB|rxcui:328134"
"CSNK1D","LINIFANIB","ncit:C71759",0.029661249181185,"","DTC","LINIFANIB|ncit:C71759"
"CSNK1D","COMPOUND 5 [NOBLE ET AL., 1992]","iuphar.ligand:8844",2.3728999344948,"","GuideToPharmacology","COMPOUND 5 [NOBLE ET AL., 1992]|iuphar.ligand:8844"
"CSNK1D","R-1487","drugbank:DB06518",0.2636555482772,"","DTC","R-1487|drugbank:DB06518"
"CSNK1D","ILORASERTIB","ncit:C116729",0.0204560339180586,"","DTC","ILORASERTIB|ncit:C116729"
"CSNK1D","CYC-116","chembl:CHEMBL482967",0.0244628859226268,"","DTC","CYC-116|chembl:CHEMBL482967"
"CSNK1D","IC261","drugbank:DB03083",0.677971409855656,"","DTC","IC261|drugbank:DB03083"
"CSNK1D","SB-242235","chembl:CHEMBL95692",0.338985704927828,"","DTC","SB-242235|chembl:CHEMBL95692"
"CSNK1D","CENISERTIB","ncit:C64540",0.0201093214787695,"","DTC","CENISERTIB|ncit:C64540"
"CSNK1D","LAS38096","iuphar.ligand:5617",0.215718175863163,"","DTC","LAS38096|iuphar.ligand:5617"
"ACRV1","WIN55212-2","iuphar.ligand:733",0.0621473792367685,"","GuideToPharmacology","WIN55212-2|iuphar.ligand:733"
"ACRV1","TM39875","iuphar.ligand:13287",1.30509496397214,"","GuideToPharmacology","TM39875|iuphar.ligand:13287"
"ACRV1","AM6545","iuphar.ligand:10029",1.30509496397214,"","GuideToPharmacology","AM6545|iuphar.ligand:10029"
"ACRV1","TARANABANT","ncit:C81420",0.435031654657379,"","GuideToPharmacology","TARANABANT|ncit:C81420"
"ACRV1","AM2201","iuphar.ligand:9705",0.652547481986069,"","GuideToPharmacology","AM2201|iuphar.ligand:9705"
"ACRV1","NABILONE","iuphar.ligand:9071",0.652547481986069,"","GuideToPharmacology","NABILONE|iuphar.ligand:9071"
"ACRV1","DRONABINOL","rxcui:10402",0.0767702919983611,"","GuideToPharmacology","DRONABINOL|rxcui:10402"
"ACRV1","AM11542","iuphar.ligand:9612",1.30509496397214,"","GuideToPharmacology","AM11542|iuphar.ligand:9612"
"ACRV1","GAT100","iuphar.ligand:9237",1.30509496397214,"","GuideToPharmacology","GAT100|iuphar.ligand:9237"
"ACRV1","MRI-1867","iuphar.ligand:10521",1.30509496397214,"","GuideToPharmacology","MRI-1867|iuphar.ligand:10521"
"ACRV1","CP55940","iuphar.ligand:730",0.130509496397214,"","GuideToPharmacology","CP55940|iuphar.ligand:730"
"ACRV1","TM38837","iuphar.ligand:8705",0.435031654657379,"","GuideToPharmacology","TM38837|iuphar.ligand:8705"
"ACRV1","IBIPINABANT","ncit:C174784",0.435031654657379,"","GuideToPharmacology","IBIPINABANT|ncit:C174784"
"ACRV1","LENABASUM","ncit:C174799",0.435031654657379,"","GuideToPharmacology","LENABASUM|ncit:C174799"
"ACRV1","[3H]WIN55212-2","iuphar.ligand:736",0.652547481986069,"","GuideToPharmacology","[3H]WIN55212-2|iuphar.ligand:736"
