"gene","drug","drug_concept_id","interaction_score","interaction_types","sources","key"
"CD79A","DIOA","iuphar.ligand:4589",13.0509496397214,"","GuideToPharmacology","DIOA|iuphar.ligand:4589"
"HSP90B1","VIAGENPUMATUCEL-L","ncit:C61073",26.1018992794428,"","TTD","VIAGENPUMATUCEL-L|ncit:C61073"
"GPC5","AMG28","iuphar.ligand:12186",5.80042206209839,"","GuideToPharmacology","AMG28|iuphar.ligand:12186"
"HSP90AB1","SILIBININ","ncit:C152359",0.189144197677121,"","DTC","SILIBININ|ncit:C152359"
"HSP90AB1","NOVOBIOCIN","rxcui:7538",0.453946074425091,"","DTC","NOVOBIOCIN|rxcui:7538"
"HSP90AB1","TANESPIMYCIN","chembl:CHEMBL109480",0.567432593031364,"","TdgClinicalTrial","TANESPIMYCIN|chembl:CHEMBL109480"
"HSP90AB1","RETASPIMYCIN HYDROCHLORIDE","ncit:C48401",0.756576790708486,"","ChEMBL;TdgClinicalTrial","RETASPIMYCIN HYDROCHLORIDE|ncit:C48401"
"HSP90AB1","SNX-5422","drugbank:DB06070",1.13486518606273,"","TdgClinicalTrial;TTD","SNX-5422|drugbank:DB06070"
"HSP90AB1","TAS-116","drugbank:DB14876",1.13486518606273,"","TTD","TAS-116|drugbank:DB14876"
"HSP90AB1","TYRPHOSTIN AG 555","drugbank:DB16773",0.0597297466348805,"","DTC","TYRPHOSTIN AG 555|drugbank:DB16773"
"HSP90AB1","GEDUNIN","chembl:CHEMBL465226",0.567432593031364,"","DTC","GEDUNIN|chembl:CHEMBL465226"
"HSP90AB1","DOXORUBICIN HYDROCHLORIDE","rxcui:142433",0.00766800801393736,"","DTC","DOXORUBICIN HYDROCHLORIDE|rxcui:142433"
"HSP90AB1","CHEMBL:CHEMBL578512","chembl:CHEMBL578512",0.0391332822780251,"","DTC","CHEMBL:CHEMBL578512|chembl:CHEMBL578512"
"HSP90AB1","MONOCILLIN I","chembl:CHEMBL215853",1.13486518606273,"","DTC","MONOCILLIN I|chembl:CHEMBL215853"
"HSP90AB1","ALVESPIMYCIN","ncit:C38142",1.51315358141697,"","ChEMBL;DTC;TdgClinicalTrial","ALVESPIMYCIN|ncit:C38142"
"HSP90AB1","RETASPIMYCIN","ncit:C80378",0.756576790708486,"","MyCancerGenome;TdgClinicalTrial","RETASPIMYCIN|ncit:C80378"
"HSP90AB1","SNX 5422","ncit:C141504",0.567432593031364,"","ChEMBL","SNX 5422|ncit:C141504"
"HSP90AB1","DIPYRIDAMOLE","rxcui:3521",0.0202654497511202,"","DTC","DIPYRIDAMOLE|rxcui:3521"
"HSP90AB1","DIACETYLRHEIN","rxcui:22759",0.126096131784748,"","DTC","DIACETYLRHEIN|rxcui:22759"
"HSP90AB1","LUMINESPIB","ncit:C71467",0.189144197677121,"","ChEMBL","LUMINESPIB|ncit:C71467"
"HSP90AB1","CD24FC","chembl:CHEMBL4297717",0.189144197677121,"","ChEMBL","CD24FC|chembl:CHEMBL4297717"
"HSP90AB1","HSP90 INHIBITOR DEBIO 0932","ncit:C92572",0.567432593031364,"","TdgClinicalTrial","HSP90 INHIBITOR DEBIO 0932|ncit:C92572"
"HSP90AB1","AUY922","drugbank:DB11881",0.756576790708486,"","MyCancerGenome;MyCancerGenomeClinicalTrial","AUY922|drugbank:DB11881"
"HSP90AB1","CYCLOPROPARADICICOL","chembl:CHEMBL468439",2.26973037212546,"","DTC","CYCLOPROPARADICICOL|chembl:CHEMBL468439"
"HSP90AB1","TANESPIMYCIN","ncit:C37899",0.872973220048253,"","ChEMBL;DTC;MyCancerGenome;TdgClinicalTrial","TANESPIMYCIN|ncit:C37899"
"HSP90AB1","CUCURBITACIN D","chembl:CHEMBL493646",1.13486518606273,"","DTC","CUCURBITACIN D|chembl:CHEMBL493646"
"HSP90AB1","ZEARALENONE","chembl:CHEMBL454173",0.0872973220048253,"","DTC","ZEARALENONE|chembl:CHEMBL454173"
"HSP90AB1","ZERANOL","rxcui:1368476",0.162123598008961,"","DTC","ZERANOL|rxcui:1368476"
"HSP90AB1","RADANAMYCIN","chembl:CHEMBL383015",1.13486518606273,"","DTC","RADANAMYCIN|chembl:CHEMBL383015"
"HSP90AB1","ZEARALANONE","chembl:CHEMBL491499",0.567432593031364,"","DTC","ZEARALANONE|chembl:CHEMBL491499"
"HSP90AB1","CELASTROL","iuphar.ligand:10386",0.680919111637637,"","DTC","CELASTROL|iuphar.ligand:10386"
"HSP90AB1","RHEIN","drugbank:DB13174",0.0515847811846695,"","DTC","RHEIN|drugbank:DB13174"
"HSP90AB1","PU-H71","chembl:CHEMBL200102",1.13486518606273,"","TTD","PU-H71|chembl:CHEMBL200102"
"HSP90AB1","DAUNORUBICIN HYDROCHLORIDE","rxcui:81992",0.034389854123113,"","DTC","DAUNORUBICIN HYDROCHLORIDE|rxcui:81992"
"HSP90AB1","GANETESPIB","ncit:C77872",0.425574444773523,"","ChEMBL;MyCancerGenome;TdgClinicalTrial","GANETESPIB|ncit:C77872"
"HSP90AB1","CHEMBL:CHEMBL2022241","chembl:CHEMBL2022241",1.13486518606273,"","DTC","CHEMBL:CHEMBL2022241|chembl:CHEMBL2022241"
"HSP90AB1","TETRACYCLINE","rxcui:10395",0.0630480658923738,"","DTC","TETRACYCLINE|rxcui:10395"
"HSP90AB1","BEVACIZUMAB","rxcui:253337",0.0567432593031364,"","PharmGKB","BEVACIZUMAB|rxcui:253337"
"HSP90AB1","ONALESPIB","ncit:C85454",0.567432593031364,"","ChEMBL;TdgClinicalTrial","ONALESPIB|ncit:C85454"
"HSP90AB1","COUMERMYCIN","ncit:C81447",2.26973037212546,"","DTC","COUMERMYCIN|ncit:C81447"
"HSP90AB1","CHEMBL:CHEMBL192264","chembl:CHEMBL192264",1.13486518606273,"","DTC","CHEMBL:CHEMBL192264|chembl:CHEMBL192264"
"HSP90AB1","MASOPROCOL","rxcui:227239",0.0241460677885687,"","DTC","MASOPROCOL|rxcui:227239"
"HSP90AB1","BIIB021","drugbank:DB12359",0.567432593031364,"","ChEMBL","BIIB021|drugbank:DB12359"
"HSP90AB1","DERRUBONE","chembl:CHEMBL412010",0.378288395354243,"","DTC","DERRUBONE|chembl:CHEMBL412010"
"HSP90AB1","RADICICOL","ncit:C1462",1.51315358141697,"","DTC","RADICICOL|ncit:C1462"
"HSP90AB1","GELDANAMYCIN","ncit:C1112",0.832234469779335,"","DTC","GELDANAMYCIN|ncit:C1112"
"HSP90AB1","HSP90 INHIBITOR LAM-003A","ncit:C84836",0.567432593031364,"","TdgClinicalTrial","HSP90 INHIBITOR LAM-003A|ncit:C84836"
"HSP90AB1","HSP90 INHIBITOR XL888","ncit:C79835",0.283716296515682,"","TdgClinicalTrial","HSP90 INHIBITOR XL888|ncit:C79835"
"HSP90AB1","GAMBOGIC ACID","chembl:CHEMBL555017",0.252192263569495,"","DTC","GAMBOGIC ACID|chembl:CHEMBL555017"
"GRB14","INSULIN, REGULAR, HUMAN","rxcui:253182",0.656651554199818,"","NCI","INSULIN, REGULAR, HUMAN|rxcui:253182"
"GRB14","PERENOSTOBART","ncit:C171450",17.4012661862952,"","GuideToPharmacology","PERENOSTOBART|ncit:C171450"
"GRB14","PSB-0963","iuphar.ligand:9023",17.4012661862952,"","GuideToPharmacology","PSB-0963|iuphar.ligand:9023"
"ARRB1","EBSELEN","ncit:C65503",0.0363789536995718,"","DTC","EBSELEN|ncit:C65503"
"ARRB1","RY024","iuphar.ligand:4301",1.27326337948501,"","GuideToPharmacology","RY024|iuphar.ligand:4301"
"ARRB1","TPA023","iuphar.ligand:4327",0.318315844871253,"","GuideToPharmacology","TPA023|iuphar.ligand:4327"
"ARRB1","PIPERIDINE-4-SULPHONIC ACID","iuphar.ligand:4287",0.141473708831668,"","GuideToPharmacology","PIPERIDINE-4-SULPHONIC ACID|iuphar.ligand:4287"
"ARRB1","DMCM","iuphar.ligand:4179",0.318315844871253,"","GuideToPharmacology","DMCM|iuphar.ligand:4179"
"ARRB1","[3H]L655708","iuphar.ligand:4363",1.27326337948501,"","GuideToPharmacology","[3H]L655708|iuphar.ligand:4363"
"ARRB1","ALPRAZOLAM","rxcui:596",0.0374489229260298,"","GuideToPharmacology","ALPRAZOLAM|rxcui:596"
"ARRB1","TBPS","iuphar.ligand:4320",0.0670138620781586,"","GuideToPharmacology","TBPS|iuphar.ligand:4320"
"ARRB1","[3H]GABAZINE","iuphar.ligand:4083",0.141473708831668,"","GuideToPharmacology","[3H]GABAZINE|iuphar.ligand:4083"
"ARRB1","[18F]FLUOROETHYLFLUMAZENIL","iuphar.ligand:4368",0.212210563247502,"","GuideToPharmacology","[18F]FLUOROETHYLFLUMAZENIL|iuphar.ligand:4368"
"ARRB1","[3H]CGS8216","iuphar.ligand:4366",0.212210563247502,"","GuideToPharmacology","[3H]CGS8216|iuphar.ligand:4366"
"ARRB1","TETRAHYDRODEOXYCORTICOSTERONE","iuphar.ligand:4321",0.212210563247502,"","GuideToPharmacology","TETRAHYDRODEOXYCORTICOSTERONE|iuphar.ligand:4321"
"ARRB1","[35S]TBPS","iuphar.ligand:4369",0.212210563247502,"","GuideToPharmacology","[35S]TBPS|iuphar.ligand:4369"
"ARRB1","BICUCULLINE","iuphar.ligand:2312",0.181894768497859,"","GuideToPharmacology","BICUCULLINE|iuphar.ligand:2312"
"ARRB1","BRETAZENIL","ncit:C72111",0.212210563247502,"","GuideToPharmacology","BRETAZENIL|ncit:C72111"
"ARRB1","FLUMAZENIL","rxcui:4457",0.0530526408118755,"","GuideToPharmacology","FLUMAZENIL|rxcui:4457"
"ARRB1","ISOGUVACINE","iuphar.ligand:4226",0.141473708831668,"","GuideToPharmacology","ISOGUVACINE|iuphar.ligand:4226"
"ARRB1","TP003","iuphar.ligand:4326",0.318315844871253,"","GuideToPharmacology","TP003|iuphar.ligand:4326"
"ARRB1","TRIAZOLAM","rxcui:10767",0.0385837387722731,"","GuideToPharmacology","TRIAZOLAM|rxcui:10767"
"ARRB1","ZK93423","iuphar.ligand:4346",0.318315844871253,"","GuideToPharmacology","ZK93423|iuphar.ligand:4346"
