gene,direction
ZADH2,down
YWHAZ,down
YWHAG,up
YWHAB,up
YJU2,up
YBX1,down
YARS1,up
YAP1,down
XYLB,up
XRCC4,up
WWP1,up
WSCD2,up
WFIKKN2,up
WFDC2,up
WFDC1,down
VWF,up
VWA2,up
VWA1,up
VSIG4,down
VIL1,up
VEGFC,up
VEGFA,up
VAV3,up
VAT1,up
VASP,down
UST,up
USO1,up
UNC5D,down
UNC5B,up
ULBP3,up
UGP2,up
UFD1,down
UBQLN4,up
UBE2G2,down
UBE2E3,up
UBE2E1,down
UBASH3B,down
UBA7,up
TXLNA,down
TWSG1,up
TWF2,up
TTN,down
TTC1,up
TSSC4,up
TRIP10,up
TRDMT1,up
TRAPPC3,up
TRA2B,up
TPM4,up
TOLLIP,up
TNRC6B,up
TNNT2,up
TNFSF13B,up
TNFSF12,up
TNFRSF9,up
TNFRSF6B,up
TNFRSF4,up
TNFRSF1B,up
TNFRSF1A,down
TNFRSF18,down
TNFRSF14,down
TNFRSF13C,up
TMEM9,up
TMEM132B,up
TMEM132A,up
TMED9,up
TIMP1,down
TIA1,down
TG,down
TFF3,up
TFF2,up
TFF1,up
TFAM,down
TESC,down
TCP10L3,down
TCEAL5,down
TCEAL2,up
TBL2,up
TATDN3,down
TARS1,up
TARDBP,up
TAGLN3,up
TAGLN,up
SYTL4,up
SYNJ2BP,down
SYK,down
SUMO2,down
SUMF2,up
SULF2,up
STOML1,down
STMN2,up
STK3,down
STK24,up
STC1,down
STAU1,up
STARD10,down
ST6GALNAC6,up
ST3GAL6,down
ST3GAL1,up
SSBP1,down
SRSF7,down
SRL,down
SRC,down
SQSTM1,up
SPON2,up
SPON1,up
SPOCK1,down
SPINK9,up
SPINK4,up
SPINK14,up
SPINK1,down
SPART,down
SPAG7,up
SNX4,up
SNTB1,down
SNTA1,up
SMOC1,down
SLITRK3,up
SLFNL1,up
SLC9A3R1,up
SLAMF6,up
SIRPB2,down
SIGLEC6,down
SIAH1,up
SH3GL2,up
SH3BGRL2,up
SEPTIN11,down
SEMA6D,up
SEMA4G,up
SEMA4A,down
SELENOF,down
SECTM1,down
SDHB,up
SDF2L1,down
SCIN,up
SCGN,up
SCG3,down
SBDS,up
SAT2,down
SAR1A,up
SAMSN1,down
SAA1,up
S100A9,down
S100A16,down
S100A14,up
RYBP,up
RWDD1,up
RTN4RL1,down
RSPO4,up
RRAS2,up
RPS6KA3,up
RPS20,up
RPP25L,down
RPN1,up
RPL12,down
RP9,up
ROR2,down
ROBO2,up
RNASE6,down
RNASE4,up
RNASE1,down
RIPK2,down
RIC8A,down
RHOG,down
RHOD,down
RHOC,up
RHOA,down
RGS10,up
RFXAP,down
REG4,down
REG3A,down
REG1B,up
REG1A,down
RDH16,up
RCAN3,up
RBP2,down
RBP1,up
RBL2,up
RBFOX2,up
RBBP9,up
RAPGEF5,down
RAP1GDS1,down
RAC2,down
RAC1,up
RAB7A,up
RAB6B,down
RAB5C,down
RAB4B,down
RAB43,down
RAB3C,up
RAB32,up
RAB21,down
RAB1A,down
PYY,down
PYCARD,up
PXDN,down
PUF60,down
PTS,up
PTPRS,down
PTK2B,up
PTH,up
PTGES2,down
PSPC1,down
PSME2,up
PSMB4,down
PSMB3,down
PSIP1,up
PRTN3,down
PRSS8,up
PRSS3,up
PRSS22,down
PRR15,up
PROK2,up
PRMT1,down
PRL,up
PRKCI,up
PRKCG,down
PRKCB,down
PRKCA,up
PRKAR2B,up
PRKACA,up
PRDX5,down
PRDX3,down
PPT1,down
PPP1R9B,up
PPP1R1A,down
PPP1R10,up
PPP1CC,down
PPIF,up
PPIC,down
PON2,down
POLM,down
POLE3,down
POGLUT1,down
PNPT1,down
PNPLA2,down
PNMA2,up
PLEKHO2,down
PLEKHM2,up
PLEK,up
PLAUR,up
PLA2G12A,down
PKM,up
PITPNA,down
PIR,up
PIP4K2A,up
PIP,up
PIH1D1,up
PICK1,up
PIANP,up
PI3,down
PHYHIPL,up
PHF3,up
PHF11,down
PHB2,up
PGRMC1,down
PGPEP1,down
PGAM2,down
PGAM1,up
PFN4,down
PFN1,up
PFDN2,up
PDLIM4,up
PDIA6,down
PDIA5,down
PDHX,down
PDE5A,up
PDCL,up
PDCD1LG2,down
PCTP,up
PCSK1,down
PCK2,down
PCDHGA10,up
PCBP3,down
PAK4,up
PAGR1,down
PACSIN2,up
OXT,up
OSTM1,down
OSCAR,down
OMG,up
OIT3,down
OGN,up
OAF,up
NUDT3,down
NUCB1,down
NUBP2,up
NTRK3,down
NTF4,down
NTF3,down
NRGN,down
NRCAM,down
NRAS,down
NPTXR,down
NPS,up
NPPB,up
NPNT,up
NPLOC4,down
NOTUM,up
NOTCH3,down
NOSIP,up
NONO,down
NMT1,up
NME2,down
NMB,down
NID2,down
NEO1,down
NELL1,up
NECAP2,up
NDUFS4,down
NDUFAF2,down
NDST1,up
NDP,up
NCKIPSD,up
NCK2,down
NCAN,down
NBL1,up
NARS1,up
NAPA,up
NAP1L4,up
NAP1L1,up
NACA,up
NAA20,down
MYL9,down
MYDGF,down
MYCBP,down
MXRA8,up
MXRA7,up
MVD,down
MTRF1L,up
MTIF3,down
MSRA,up
MRPL21,up
MRPL1,up
MPO,up
MOB3B,down
MOB1B,up
MMP9,up
MMP7,up
MIF,down
MIEF1,down
MGP,down
MFGE8,down
METTL3,up
ME2,up
MDM4,up
MDM1,down
MDH2,up
MBL2,up
MARS1,down
MAPRE1,up
MAP4K5,down
MAP2K6,up
MAP2K3,up
MANF,down
MAGOHB,up
MAG,down
MACROH2A1,down
LYZ,down
LYN,down
LY86,down
LTA4H,up
LSM4,up
LRTM2,up
LRRFIP2,down
LRRC59,down
LRRC25,up
LRATD2,up
LNPK,down
LMNB2,up
LMAN2,up
LIMD1,down
LGALSL,down
LGALS4,up
LGALS3BP,down
LGALS3,down
LEP,up
LEG1,down
LEAP2,up
LDLRAP1,up
LDLRAD4,up
LCP1,up
LCAT,down
LAP3,up
LAMTOR2,down
LAMC2,up
LACRT,up
KRT20,up
KRT1,up
KPNB1,up
KPNA6,up
KLK3,up
KLK13,up
KLHL2,down
KLB,up
KIT,up
KIFBP,up
KIAA0040,up
KHSRP,up
JAML,up
IVD,up
ITPK1,up
ITPA,down
INS,up
INPP5A,up
ING1,down
ILK,down
ILF3,up
IL6,up
IL4I1,up
IL36A,down
IL25,down
IL22,up
IL2,up
IL1RN,down
IL18BP,up
IL17RC,down
IL10RA,up
IGLL1,up
IGHG4,down
IGFLR1,up
IGFBP5,up
IGFBP4,up
IGFALS,down
IFNW1,down
IDI1,down
ICOSLG,down
ICAM5,down
HSPG2,down
HSPD1,up
HSPB6,down
HSPA1A,up
HS6ST3,up
HS3ST4,down
HPGDS,down
HPGD,up
HNRNPD,down
HNF4A,up
HLA-E,up
HIBCH,down
HEXB,up
HECW2,up
HDHD3,up
HDGFL3,up
HDGF,down
HDAC4,down
HBG2,up
HBE1,up
HAVCR2,up
HAVCR1,down
HARS1,down
HAPLN1,down
HAMP,down
HADH,up
GUCA2B,down
GSTO1,down
GSTK1,up
GSK3B,up
GRK2,up
GRIPAP1,down
GRIA4,down
GRB2,up
GPX3,down
GPT,up
GPD1,up
GPC5,up
GPC3,down
GP5,down
GOLPH3L,up
GNGT2,up
GM2A,down
GLRX2,up
GLRX,down
GLIPR2,up
GLA,down
GH2,up
GFAP,up
ZCCHC18,down
GDF15,up
GCHFR,up
GCG,down
GBP2,up
GAS1,down
GARS1,down
GABARAPL1,up
GABARAP,down
G6PD,down
FZD8,down
FZD7,down
FZD1,down
FTMT,down
FSTL4,down
FSTL3,up
FSD1,down
FRZB,down
FOXP3,down
FOLR2,up
FOLR1,up
FOLH1,down
FN1,up
FLRT2,down
FLRT1,up
FLI1,down
FKBP3,down
FKBP2,down
FKBP1A,down
FGFBP3,down
FGF9,down
FGF7,down
FETUB,up
FERMT3,down
FDPS,down
FCGR2A,up
FBLIM1,down
FAP,up
FAM3D,up
FAM3B,down
FAM20B,up
FAM189A2,up
FAM151B,up
FAM110A,down
FABP4,down
FABP3,up
FABP1,down
F9,down
F5,up
F3,up
F2,up
EXD1,up
EWSR1,up
EURL,down
ERP29,down
ERLEC1,up
ERH,up
ERC1,down
EPOR,up
EPO,up
EPHB4,up
EPHB2,up
EPHA2,up
ENPP5,up
ENO2,up
EMC10,down
EMC1,down
EIF4H,up
EIF4G2,up
EHMT2,up
EHD3,down
EHD1,up
EGLN2,up
EGLN1,down
EGFR,up
EGFLAM,down
EFS,up
EFNB2,up
EFNB1,up
EFNA4,down
EFNA3,up
EFNA2,up
EFNA1,up
EEF1A1,up
EDN3,up
EDN2,down
EDA2R,up
ECM1,up
DTD1,up
DSTN,down
DSG2,up
DSC2,down
DPY30,up
DOK2,up
DNM2,up
DNM1,down
DNER,up
DNAJB9,down
DNAJB4,up
DNAJB2,down
DMC1,up
DLL1,up
DLK2,down
DHRS9,up
DEFB4A,up
DEFB135,up
DEFA1,up
DECR1,up
DEAF1,down
DDX6,up
DDR2,up
DCTD,up
DCBLD1,up
DBI,up
DARS2,up
DARS1,up
DAPP1,up
DAG1,up
DAB2,up
CYRIB,down
CYP3A4,down
CYB5R3,up
CYB5R2,up
CXCL8,up
CTSZ,down
CTSV,up
CTSD,up
CTSB,up
CTHRC1,up
CTDSP1,down
CSTB,up
CST7,up
CST3,up
CSRP1,up
CSNK1G1,up
CSMD2,up
CSMD1,up
CSK,up
CSF3,up
CSF1,up
CS,down
CRTAC1,up
CRIP1,down
CREBBP,up
CRAT,up
CPQ,up
CPM,up
CPLX2,down
COTL1,up
COPB2,up
COMT,up
COL9A1,down
COL6A3,up
COL28A1,up
COL11A2,down
COA4,up
CNTNAP2,up
CNTN4,down
CNTN1,up
CNPY3,up
CMTM4,down
CMC4,up
CLTA,up
CLMP,up
CLINT1,up
CLIC4,up
CLIC3,up
CLIC1,up
CLEC4G,down
CLEC3B,down
CLEC11A,up
CHST15,down
CHST11,up
CHMP2A,up
CHMP1A,down
CHGA,up
CHFR,up
CHD1L,up
CHCHD10,up
CGREF1,up
CFP,up
CFL2,up
CFHR2,down
CFC1,down
CETP,up
CES3,up
CES1,up
CELF2,up
CDSN,down
CDKN1A,up
CDH17,up
CDC42EP4,down
CDC42,down
CD86,up
CD82,down
CD70,down
CD46,down
CD248,down
CD2,down
CCL20,down
CCDC9,up
CCDC149,up
CCDC126,up
CBX1,down
CBLN2,down
CBLN1,up
CAVIN1,down
CASP7,down
CASP4,down
CAPZA1,up
CAPN2,down
CANX,down
CALD1,up
CACNA2D3,up
CAB39,up
CA6,up
CA3,up
CA11,up
C9,up
C3,up
C1RL,down
C1R,up
C1QTNF5,up
C1QL3,up
C1QL2,up
C1GALT1C1,up
BZW2,up
BTK,up
BPHL,up
BMPR1A,down
BMP1,up
BIN2,up
BID,up
BCL2L10,down
BAP18,down
BAIAP2,down
BAGE3,up
BAGE2,up
B4GALT5,up
B4GALT2,down
B3GALT5,down
B3GALT2,up
B2M,down
AUH,up
ATXN10,down
ATP6V1C2,up
ATP5PB,down
ATP2A3,up
ATG7,up
ASGR1,up
ASB9,up
ART4,down
ARRDC3,down
ARRB1,up
ARPC2,up
ARL8A,up
ARL6IP5,up
ARL5B,up
ARL11,up
ARHGAP6,down
ARHGAP45,down
ARHGAP22,up
ARHGAP1,up
ARFGAP2,down
APOM,up
APOA4,up
APOA1,up
APLP1,up
AP2B1,up
ANXA11,up
ANTXR2,down
ANTXR1,up
ANP32B,up
ANOS1,down
ANKRD16,up
ANGPTL8,down
ANGPT2,down
AMT,up
AMIGO1,up
AMH,up
AMBP,down
ALPL,up
AKR7A2,up
AKR1C3,down
AKR1C2,up
AKR1B1,up
AKR1A1,up
AIF1L,down
AGFG1,down
ADM,down
ADGRB2,up
ADGRB1,up
ADAMTSL2,down
ADAM28,up
ADAM22,up
ACYP2,up
ACY3,up
ACTN1,up
ACOT13,down
ACAP2,up
ACADVL,up
ABHD10,up
ABCD4,up
AARSD1,up
AACS,down
